curr_id,contract,sex,car,income,credit,income_type,education,family_status,house,start_day,organization
100002,Cash loans,M,N,202500,406597.5,Working,Secondary / secondary special,Single / not married,House / apartment,WEDNESDAY,Business Entity Type 3
100003,Cash loans,F,N,270000,1293502.5,State servant,Higher education,Married,House / apartment,MONDAY,School
100004,Revolving loans,M,Y,67500,135000,Working,Secondary / secondary special,Single / not married,House / apartment,MONDAY,Government
100006,Cash loans,F,N,135000,312682.5,Working,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Business Entity Type 3
100007,Cash loans,M,N,121500,513000,Working,Secondary / secondary special,Single / not married,House / apartment,THURSDAY,Religion
100008,Cash loans,M,N,99000,490495.5,State servant,Secondary / secondary special,Married,House ,WEDNESDAY,Other
100009,Cash loans,F,Y,171000,1560726,Commercial associate,Higher education,Married,House / apartment,SUNDAY,Business Entity Type 3
100010,Cash loans,M,Y,360000,1530000,State servant,Higher education,Married,House / apartment,MONDAY,Other
100011,Cash loans,F,N,112500,1019610,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA
100012,Revolving loans,M,N,135000,405000,Working,Secondary / secondary special,Single / not married,House / apartment,THURSDAY,Electricity
100014,Cash loans,F,N,112500,652500,Working,Higher education,Married,House / apartment,SATURDAY,Medicine
100015,Cash loans,F,N,38419.155,148365,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100016,Cash loans,F,N,67500,80865,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 2
100017,Cash loans,M,Y,225000,918468,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Self-employed
100018,Cash loans,F,N,189000,773680.5,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Transport: type 2
100019,Cash loans,M,Y,157500,299772,Working,Secondary / secondary special,Single / not married,Rented apartment,SATURDAY,Business Entity Type 2
100020,Cash loans,M,N,108000,509602.5,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Government
100021,Revolving loans,F,N,81000,270000,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Construction
100022,Revolving loans,F,N,112500,157500,Working,Secondary / secondary special,Widow,House / apartment,FRIDAY,Housing
100023,Cash loans,F,N,90000,544491,State servant,Higher education,Single / not married,House / apartment,MONDAY,Kindergarten
100024,Revolving loans,M,Y,135000,427500,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed
100025,Cash loans,F,Y,202500,1132573.5,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Trade: type 7
100026,Cash loans,F,N,450000,497520,Working,Secondary / secondary special,Married,Rented apartment,THURSDAY,Self-employed
100027,Cash loans,F,N,83250,239850,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100029,Cash loans,M,Y,135000,247500,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Business Entity Type 3
100030,Cash loans,F,N,90000,225000,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Business Entity Type 3
100031,Cash loans,F,N,112500,979992,Working,Secondary / secondary special,Widow,House / apartment,MONDAY,Business Entity Type 3
100032,Cash loans,M,N,112500,327024,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Industry: type 11
100033,Cash loans,M,Y,270000,790830,State servant,Higher education,Single / not married,House / apartment,WEDNESDAY,Military
100034,Revolving loans,M,N,90000,180000,Working,Higher education,Single / not married,With parents,TUESDAY,Business Entity Type 3
100035,Cash loans,F,N,292500,665892,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Business Entity Type 3
