prev_id,curr_id,contract,amount,credit,down_payment,start_day,purpose,contract_status,payment_type,reject_reason,client,product_type,channel ,yield_group
1369693,100001,Consumer loans,24835.5,23787,2520,FRIDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Country-wide,high
1038818,100002,Consumer loans,179055,179055,0,SATURDAY,XAP,Approved,XNA,XAP,New,XNA,Stone,low_normal
1810518,100003,Cash loans,900000,1035882,,FRIDAY,XNA,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,low_normal
2636178,100003,Consumer loans,337500,348637.5,0,SUNDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Stone,middle
1564014,100004,Consumer loans,24282,20106,4860,FRIDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Regional / Local,middle
2078043,100006,Cash loans,675000,675000,,THURSDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,low_normal
2827850,100006,Revolving loans,0,0,,THURSDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2190416,100006,Consumer loans,334917,267930,66987,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
1489396,100006,Revolving loans,270000,270000,,THURSDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,XNA
2001242,100007,Cash loans,180000,180000,,SUNDAY,XNA,Approved,Cash through the bank,XAP,Repeater,walk-in,Regional / Local,high
2730157,100007,Cash loans,225000,284400,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,AP+ (Cash loan),middle
1692033,100007,Cash loans,247500,274288.5,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
2218188,100008,Consumer loans,162598.5,162598.5,0,THURSDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,low_normal
1757431,100008,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1186888,100008,Consumer loans,44455.5,39955.5,4500,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
2613879,100008,Cash loans,450000,501975,,MONDAY,XNA,Approved,Cash through the bank,XAP,Refreshed,x-sell,Country-wide,middle
1907290,100008,Consumer loans,121455,109309.5,12145.5,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,low_normal
1413109,100009,Consumer loans,98239.5,98239.5,0,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,low_action
2227125,100009,Consumer loans,46876.5,44694,4689,WEDNESDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2421381,100009,Consumer loans,47160,39721.5,9432,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,middle
2668005,100011,Cash loans,0,0,,WEDNESDAY,XNA,Refused,Cash through the bank,LIMIT,Repeater,XNA,Credit and cash offices,XNA
1430602,100011,Consumer loans,135931.5,134446.5,13594.5,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,high
1843384,100011,Revolving loans,0,180000,,SATURDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Contact center,XNA
2243829,100012,Consumer loans,18720,23697,0,THURSDAY,XAP,Approved,XNA,XAP,New,XNA,Country-wide,high
2164190,100012,Cash loans,135000,158508,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
2480304,100012,Cash loans,90000,114273,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
1865796,100013,Consumer loans,51030,47934,6750,THURSDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,high
1222069,100013,Cash loans,0,0,,WEDNESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1594297,100013,Cash loans,450000,512370,,SATURDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
1108870,100013,Consumer loans,22455,24232.5,0,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,middle
1466167,100016,Consumer loans,47115,42403.5,4711.5,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,high
1251047,100016,Consumer loans,290250,232200,58050,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,middle
2769249,100017,Consumer loans,158040,152721,15804,WEDNESDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,low_normal
1562063,100017,Consumer loans,195291,198409.5,22500,FRIDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Country-wide,middle
2073931,100018,Consumer loans,48510,56196,0,MONDAY,XAP,Approved,Cash through the bank,XAP,XNA,XNA,Country-wide,high
2704445,100018,Consumer loans,536364,536364,0,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,low_normal
1176822,100018,Consumer loans,571774.5,514593,57181.5,FRIDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Regional / Local,low_normal
